Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount
Influenc Inc.,https://www.crunchbase.com/organization/infl-u-enc-inc,,"West Hollywood, California, United States",Inflâ€¢uâ€¢enc connects brands with influencers.,"54,586",8/10/17,,7/10/17,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Astra App,https://www.crunchbase.com/organization/astra-5,"Data and Analytics, Software","San Francisco, California, United States",Receive the lowest hotel price for your booking. Guaranteed.,"47,507",7/6/17,,7/16/17,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
ShiftDoc,https://www.crunchbase.com/organization/shiftdoc,"Health Care, Professional Services","San Francisco, California, United States",ShiftDoc is an on-demand healthcare staffing marketplace for private practices.,"47,607",7/1/17,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
hopps,https://www.crunchbase.com/organization/hopps,"Apps, Media and Entertainment, Food and Beverage, Events, Software, Sales and Marketing, Internet Services, Mobile, Advertising","San Francisco, California, United States",A cross platform application that reduces the hassle and time for patrons to get a drink while increasing revenue for bars,"46,924",6/12/17,,7/31/17,1,"$51,000 ",Seed,"$51,000 ","$51,000 ","$51,000 "
Arctic Heat Technologies Inc.,https://www.crunchbase.com/organization/arctic-heat-technologies-inc,Real Estate,"Anchorage, Alaska, United States",Manufacturer of carbon fiber heat tape for snow and ice melting,"58,665",6/1/17,,6/1/17,1,"$75,000 ",Seed,"$75,000 ","$75,000 ","$75,000 "
Circus Interactive LLC,https://www.crunchbase.com/organization/circus-interactive-llc-2,,"Charlotte, North Carolina, United States",Digital Marketing Agency Creating Inspiring Work,"61,699",6/1/17,,6/1/17,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
Sixth Wave Coffee,https://www.crunchbase.com/organization/sixth-wave-coffee,Food and Beverage,"Denver, Colorado, United States",Coffee from around the world curated to your taste. Coffee you've never had before and deliver to your home and office!,"63,250",6/1/17,,6/15/17,1,"$15,000 ",Seed,"$15,000 ","$15,000 ","$15,000 "
IAMAN Diversified Technologies,https://www.crunchbase.com/organization/iaman-diversified-technologies,,"Dallas, Texas, United States","Technology Engineering, Robotics, and Innonvation","63,487",5/24/17,,7/1/17,1,"$10,000 ",Seed,"$10,000 ","$10,000 ","$10,000 "
Hulq.com,https://www.crunchbase.com/organization/hulq-com,Financial Services,"Miami, Florida, United States",Save big on your next lease... It only takes minutes. Submit your offer. Let dealers compete. Hulq puts the power in your hands.,"28,152",5/10/17,,5/1/17,1,"$1,100,000 ",Seed,"$1,100,000 ","$1,100,000 ","$1,100,000 "
"Nimble Hiring, PBC",https://www.crunchbase.com/organization/nimble-hiring-pbc,Professional Services,"Palo Alto, California, United States","Nimble is changing the way school districts hire teachers, with a better applicant tracking system.","48,069",5/8/17,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Resonance AI,https://www.crunchbase.com/organization/resonance-inc,"Science and Engineering, Information Technology, Data and Analytics, Software, Artificial Intelligence","San Francisco, California, United States",SaaS solution that enable anyone to turn devices and apps predictive aware.,"16,485",5/1/17,,5/8/17,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
PrazoNow,https://www.crunchbase.com/organization/prazo,"Community and Lifestyle, Transportation, Internet Services","West Hollywood, California, United States","PrazoNow is an automotive subscription service delivering inclusive all-electric car access for a simple, renewable 3, 6 or 9 month term.","36,080",5/1/17,,10/15/15,1,"$155,000 ",Seed,"$155,000 ","$155,000 ","$155,000 "
Explorest,https://www.crunchbase.com/organization/explorest,,"San Francisco, California, United States","Explorest helps travelers discover, access and photograph the worldâ€™s most beautiful photo locations","45,443",5/1/17,,6/1/17,2,"$60,000 ",Seed,"$60,000 ","$145,000 ","$145,000 "
PullRequest,https://www.crunchbase.com/organization/pullrequest,"Science and Engineering, Information Technology, Software","Austin, Texas, United States","PullRequest helps development teams ship code faster, with improved quality and lower costs.","48,634",5/1/17,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Auxiliary Capital,https://www.crunchbase.com/organization/auxiliary-capital,,"Boca Raton, Florida, United States",Quantitative FX Trading Solutions,"60,517",5/1/17,,5/1/17,1,"$70,000 ",Seed,"$70,000 ","$70,000 ","$70,000 "
"Encriptame Inc, a C Type company.",https://www.crunchbase.com/organization/encriptame,"Information Technology, Community and Lifestyle, Privacy and Security","New York, New York, United States","Encriptame, security made easy.","62,194",5/1/17,,5/30/17,1,"$20,000 ",Seed,"$20,000 ","$20,000 ","$20,000 "
