Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage,Total Visits,Avg Visit Duration,Pages Per Visit,Bounce Rate
908 Devices,2012-01-01,,5,2017-03-15,20000000,49300000,Operating,Series D,20000000,2017-03-15,9c3b4ae472afb6d63f029c811f56fb40,http://908devices.com,<12K,00:03:29,3.40,28.70%
Alector,2013-01-01,,3,2016-01-07,29500000,61500000,Operating,Series D,29500000,2016-01-07,9dd3b221ff3bbdb834da7774e6510b63,http://alector.com,<12K,00:00:03,1.06,31.74%
AveXis,2013-01-01,,4,2015-09-08,65000000,75000000,Was Acquired,Series D,65000000,2015-09-08,b09be91c91a9632e870dc5ed83c46717,https://avexis.com/,<12K,00:03:38,3.32,38.21%
Blend,2012-05-01,,5,2017-08-24,100000000,160000000,Operating,Series D,100000000,2017-08-24,e35a34d36b1d1d5b1665190c7daa4460,http://www.blendsd.com,<12K,00:01:06,1.45,77.63%
Bustle Digital Group,2013-01-01,,5,2017-03-10,12000000,50500000,Operating,Series D,12000000,2017-03-10,b7d88b9f3a746aea845159ecd4851518,http://bustle.com,47.42M,00:00:53,1.38,76.97%
Catalant,2013-01-01,,5,2017-06-27,41000000,75550000,Operating,Series D,41000000,2017-06-27,45a8a2d2d13fb336348a2b0bc1a80b01,http://www.gocatalant.com,82.18K,00:03:42,4.12,27.28%
CloudHealth Technologies,2012-01-01,,5,2017-06-27,46000000,85700000,Operating,Series D,46000000,2017-06-27,1ea93e4f355c999ba61d96482d7e42ee,http://www.cloudhealthtech.com,54.24K,00:05:10,7.57,25.91%
Clover Health,2013-01-01,,5,2017-05-10,130000000,425000000,Operating,Series D,130000000,2017-05-10,218bda650c8c3bb930b50c001d41a6f0,http://cloverhealth.com,24.40K,00:39:35,25.05,21.27%
Coinbase,2012-06-01,,6,2017-08-10,100000000,217209590,Operating,Series D,100000000,2017-08-10,66e40cf49685ff3bb5a70d43cc45eefb,https://www.coinbase.com,41.30M,00:07:04,6.48,34.64%
College Ave Student Loans,2014-01-01,,4,2017-04-13,30000000,63400000,Operating,Series D,30000000,2017-04-13,fd2a37120f652f0986898aa2b493f860,https://www.collegeavestudentloans.com/,298.22K,00:03:38,5.28,16.74%
Compass,2012-10-04,,5,2016-08-31,75000000,208000000,Operating,Series D,75000000,2016-08-31,0e4ffd8e89ac4e65f350116d23a86385,http://www.compassmc.com,<12K,00:00:02,1.07,25.60%
Coursera,2012-01-01,,7,2017-06-07,64000000,210100000,Operating,Series D,64000000,2017-06-07,4ddbfe0af3f99227634a163ed847a4f8,http://www.coursera.org,42.29M,00:08:42,6.37,39.00%
Cybereason,2012-01-01,,4,2017-06-20,100000000,188600000,Operating,Series D,100000000,2017-06-20,cf5f9499e8c83f6345ccba1d7ac16da1,http://www.cybereason.com,482.09K,00:00:56,1.90,35.57%
Cylance,2012-07-04,,4,2016-06-08,100000000,177000000,Operating,Series D,100000000,2016-06-08,75a946dd1ee6ae0a80e65fad174c3af0,http://www.cylance.com,653.65K,00:09:37,4.96,30.76%
Databricks,2013-01-01,,4,2017-08-22,140000000,247000000,Operating,Series D,140000000,2017-08-22,b70eee8a83db997a509c464724b37278,https://databricks.com,847.63K,00:06:48,9.35,44.25%
Desktop Metal,2015-01-01,,5,2017-07-17,115000000,211760835,Operating,Series D,115000000,2017-07-17,390d3588976683d67ba74a7d2a5adfc8,http://www.desktopmetal.com,62.67K,00:02:32,2.29,29.19%
Fugue,2012-01-01,,5,2017-01-05,41000000,74800000,Operating,Series D,41000000,2017-01-05,ac4ba9ece50703f6e26ea30a410bd909,https://fugue.co/,17.07K,00:00:45,1.57,75.41%
Giphy,2013-02-01,,4,2016-10-31,72000000,150949998,Operating,Series D,72000000,2016-10-31,048f759f06e4456b61263d4a57141b5d,http://giphy.com,161.09M,00:01:49,2.34,67.08%
Illumio,2013-01-01,,4,2017-06-07,125000000,267500000,Operating,Series D,125000000,2017-06-07,45a43b37887c193213f12f1c21752f60,http://www.illumio.com,55.93K,00:00:24,1.33,21.97%
Instacart,2012-01-01,,7,2017-03-07,400000000,674800000,Operating,Series D,400000000,2017-03-07,4e542cdaf3b9bc92b2f216dcae17032b,https://www.instacart.com,4.35M,00:05:54,7.86,43.45%
JustVisual,2015-04-07,,1,2013-07-30,10000000,10000000,Operating,Series D,10000000,2013-07-30,93d8b657253959cb7eee9165fce1b728,http://www.justvisual.com,<12K,00:00:54,1.47,52.69%
Life Boost (Tespo),2013-01-01,,1,2016-03-07,1250000,1250000,Operating,Series D,1250000,2016-03-07,9896f3a029d990d13496ed37d429dc20,https://gettespo.com/,500.69K,00:05:32,7.65,21.01%
Livongo,2014-01-01,,6,2017-03-16,52500000,143200001,Operating,Series D,52500000,2017-03-16,a187546188e8b56b6943cbad55819d00,http://www.livongo.com/,<12K,00:03:32,4.78,38.51%
NowThis,2012-09-01,,4,2015-12-08,16200000,32000000,Operating,Series D,16200000,2015-12-08,cc24f18b7ff503662b863bc5f194c215,http://nowthisnews.com,32.93K,00:00:20,1.41,63.22%
Onshape,2012-01-01,,4,2016-04-14,105000000,169000000,Operating,Series D,105000000,2016-04-14,b4e5846a132c4ba5818e3c3be534fa0d,http://www.onshape.com,1.11M,00:05:21,4.54,45.14%
Opendoor,2014-01-01,,4,2016-12-01,210000000,319950000,Operating,Series D,210000000,2016-12-01,edfa0214f0fa98ec3a59fe77919956cd,https://www.opendoor.com,279.74K,00:05:37,8.12,29.79%
Paxata,2012-05-29,,4,2016-10-24,33500000,60992752,Operating,Series D,33500000,2016-10-24,ebf5dada6f9f9d89083e636109c44f3e,http://www.paxata.com,13.21K,00:04:33,5.04,39.89%
PillPack,2013-01-31,,5,2016-09-06,55000000,117800000,Operating,Series D,55000000,2016-09-06,31fe80412a9da55c457e36b3c138d283,http://www.pillpack.com,195.14K,00:07:52,12.47,36.32%
Prescient,2013-01-01,,3,2017-04-25,40000000,53000000,Operating,Series D,40000000,2017-04-25,ac6fac4ebe51af94bc011931577e07b0,http://www.prescientco.com,<12K,00:01:31,2.62,46.48%
REBBL,2012-01-01,,2,2016-12-12,10000000,14000000,Operating,Series D,10000000,2016-12-12,60daf32d6b41b6d6900a6a6de4da9f50,http://rebbl.co,<12K,00:03:06,4.65,30.18%
