Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage
908 Devices,1/1/2012,,5,3/15/2017,20000000,49300000,Operating,Series D,20000000,3/15/2017,9c3b4ae472afb6d63f029c811f56fb40,http://908devices.com
Alector,1/1/2013,,3,1/7/2016,29500000,61500000,Operating,Series D,29500000,1/7/2016,9dd3b221ff3bbdb834da7774e6510b63,http://alector.com
AveXis,1/1/2013,,4,9/8/2015,65000000,75000000,Was Acquired,Series D,65000000,9/8/2015,b09be91c91a9632e870dc5ed83c46717,https://avexis.com/
Blend,5/1/2012,,5,8/24/2017,100000000,160000000,Operating,Series D,100000000,8/24/2017,e35a34d36b1d1d5b1665190c7daa4460,http://www.blendsd.com
Blend,5/1/2012,,5,8/24/2017,100000000,160000000,Operating,Series D,100000000,8/24/2017,5058d5cd4c08c241165923dec5136c9d,https://www.blend.com
Blend,5/1/2012,,5,8/24/2017,100000000,160000000,Operating,Series D,100000000,8/24/2017,a2c48634a8fd8030f6a1306cf29d50ff,http://www.blend.life
Bustle Digital Group,1/1/2013,,5,3/10/2017,12000000,50500000,Operating,Series D,12000000,3/10/2017,b7d88b9f3a746aea845159ecd4851518,http://bustle.com
Catalant,1/1/2013,,5,6/27/2017,41000000,75550000,Operating,Series D,41000000,6/27/2017,45a8a2d2d13fb336348a2b0bc1a80b01,http://www.gocatalant.com
Catalant,1/1/2013,,5,6/27/2017,41000000,75550000,Operating,Series D,41000000,6/27/2017,9b67b0f7b229dcf63a1bb4ecc971ce14,http://catalant.co
CloudHealth Technologies,1/1/2012,,5,6/27/2017,46000000,85700000,Operating,Series D,46000000,6/27/2017,1ea93e4f355c999ba61d96482d7e42ee,http://www.cloudhealthtech.com
Clover Health,1/1/2013,,5,5/10/2017,130000000,425000000,Operating,Series D,130000000,5/10/2017,218bda650c8c3bb930b50c001d41a6f0,http://cloverhealth.com
Coinbase,6/1/2012,,6,8/10/2017,100000000,217209590,Operating,Series D,100000000,8/10/2017,66e40cf49685ff3bb5a70d43cc45eefb,https://www.coinbase.com
College Ave Student Loans,1/1/2014,,4,4/13/2017,30000000,63400000,Operating,Series D,30000000,4/13/2017,fd2a37120f652f0986898aa2b493f860,https://www.collegeavestudentloans.com/
Compass,10/4/2012,,5,8/31/2016,75000000,208000000,Operating,Series D,75000000,8/31/2016,0e4ffd8e89ac4e65f350116d23a86385,http://www.compassmc.com
Compass,10/4/2012,,5,8/31/2016,75000000,208000000,Operating,Series D,75000000,8/31/2016,7034bbaa0ca511ffc78b5ee431b517ff,http://www.compass.co
Compass,10/4/2012,,5,8/31/2016,75000000,208000000,Operating,Series D,75000000,8/31/2016,7a3707491eacfa705e6bab263df236cc,http://www.compassbeverages.com
