Company,Funding Type,Money Raised,Announced On Date,Homepage,Total Visits,Avg Visit Duration,Pages Per Visit,Bounce Rate
"Bestow, Inc.",Seed,2500000,2017-08-29,https://www.hellobestow.com,,,,
PrimaryIO,Seed,5600000,2017-08-25,,,,,
Polygram,Seed,2100000,2017-08-25,,,,,
Sahi Cosmetics,Seed,100000,2017-08-25,,,,,
Romeo Power,Seed,30000000,2017-08-24,https://romeopower.com/,,,,
Square Roots Urban Growers,Seed,5400000,2017-08-23,http://www.squarerootsgrow.com,,,,
Gabi,Seed,2600000,2017-08-23,https://www.gabi.com/,,,,
Apic Bio,Seed,1000000,2017-08-23,https://www.apic-bio.com/,,,,
Indiez,Seed,500000,2017-08-23,http://www.indiez.io,,,,
leap.ai,Seed,2400000,2017-08-22,https://www.leap.ai,,,,
Truss,Series A,7700000,2017-08-23,http://www.buildtruss.com/,,,,
WorkSpan,Series A,9000000,2017-08-23,https://www.workspan.com,,,,
Sliver.tv,Series A,9800000,2017-08-23,http://www.sliver.tv/,,,,
Memphis Meats,Series A,17000000,2017-08-23,http://www.memphismeats.com/,,,,
AutoFi,Series A,10000000,2017-08-24,http://www.autofi.com,,,,
Neuralink,Series A,26960000,2017-08-25,,,,,
Amitree,Series A,7128000,2017-08-25,http://amitree.com,,,,
Freenome,Series A,7000000,2017-08-28,http://www.freenome.com,,,,
Hubble Contacts,Series A,10000000,2017-08-28,http://hubblecontacts.com,,,,
New York Shipping Exchange (NYSHEX),Series A,13000000,2017-08-24,https://www.nyshex.com/,,,,
stride health,Series B,23500000,2017-08-22,https://www.stridehealth.com,,,,
ZingBox,Series B,22000000,2017-08-17,http://www.zingbox.com,,,,
Ripcord,Series B,25000000,2017-08-17,https://www.ripcord.com/,,,,
IndoorAtlas,Series B,3600000,2017-08-22,http://www.indooratlas.com,,,,
Emailage,Series B,10000000,2017-08-23,http://www.emailage.com,,,,
Roost,Series B,10400000,2017-08-23,https://www.roost.com/,,,,
Bridg,Series B,11000000,2017-08-23,http://www.bridg.com,,,,
"Forward Networks, Inc.",Series B,16000000,2017-08-23,http://www.forwardnetworks.com/,,,,
"Lumity, Inc.",Series B,19000000,2017-08-23,http://www.lumity.com,,,,
Descartes Labs,Series B,30000000,2017-08-24,http://www.descarteslabs.com/,,,,
Lever,Series C,40000000,2017-07-19,https://www.lever.co/,,,,
Effector Therapeutics,Series C,38600000,2017-07-24,http://effector.com,,,,
DataRobot,Series C,67180000,2017-07-27,http://datarobot.com,,,,
Amplitude,Series C,30000000,2017-08-10,http://amplitude.com,,,,
"August Home, Inc.",Series C,25000000,2017-07-26,http://www.august.com,,,,
Color Genomics,Series C,52000000,2017-08-16,https://www.color.com,,,,
ThoughtSpot,Series C,60000000,2017-08-17,http://thoughtspot.com,,,,
Versive,Series C,12700000,2017-08-22,http://www.versive.com,,,,
Ember Technologies,Series C,13000000,2017-08-23,http://www.embertech.com/,,,,
Reverb.com,Series C,15000000,2017-08-15,http://www.reverb.com,,,,
Illumio,Series D,125000000,2017-06-07,http://www.illumio.com,,,,
Blend,Series D,100000000,2017-08-24,https://www.blend.com,,,,
Databricks,Series D,140000000,2017-08-22,https://databricks.com,,,,
Coinbase,Series D,100000000,2017-08-10,https://www.coinbase.com,,,,
Super Evil Mega Corp,Series D,19000000,2017-08-09,http://www.superevilmegacorp.com,,,,
Desktop Metal,Series D,115000000,2017-07-17,http://www.desktopmetal.com,,,,
CloudHealth Technologies,Series D,46000000,2017-06-27,http://www.cloudhealthtech.com,,,,
Catalant,Series D,41000000,2017-06-27,http://www.gocatalant.com,,,,
Cybereason,Series D,100000000,2017-06-20,http://www.cybereason.com,,,,
Coursera,Series D,64000000,2017-06-07,http://www.coursera.org,,,,
