Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage,Total Visits,Avg Visit Duration,Pages Per Visit,Bounce Rate
27 Perry,1/1/2012,1/1/2013,1,5/17/2012,118000,118000,Closed,Seed,118000,5/17/2012,40d8d076df13484162029389201bb1fa,http://www.27perry.com,<12K,0:00:39,2,
Accordion Health,5/14/2014,6/1/2017,2,11/1/2015,1000000,1150000,Closed,Seed,150000,7/2/2014,dad5fb42208622ca30fc7db8349a3a1c,https://accordionhealth.com,<12K,0:00:21,1.81,77.55%
Alekto,7/1/2012,1/1/2013,1,8/27/2012,50000,50000,Closed,Seed,50000,8/27/2012,0e19d30ebf03535f97daef13751335e0,http://www.alekto.co,<12K,0:01:47,2,
Alexis Graham,1/15/2014,,1,6/1/2014,100000,100000,Closed,Seed,100000,6/1/2014,22f6492b66a78ff36256ed387a92fb41,https://accelerateproduct.com/,<12K,,,
Alminder,4/1/2012,,1,10/22/2013,1525000,1525000,Closed,Seed,1525000,10/22/2013,ecafe94154b17c6d62e2ec5437bf9d05,http://mynd.me,<12K,,1.29,71.39%
Alumni Labs,6/1/2013,,1,6/1/2013,20000,20000,Closed,Seed,20000,6/1/2013,73c4766994c100903d0117d936f8e2a7,http://www.alumnilabs.com,<12K,,,
Applits,7/1/2012,8/1/2015,1,7/9/2013,63000,63000,Closed,Seed,63000,7/9/2013,318ea816d16abc8d4782700fd8a56ea9,http://applits.com,<12K,0:00:01,1.02,6.19%
Armour.io - OWN YOUR DATA,3/7/2014,6/19/2016,1,10/1/2014,350000,350000,Closed,Seed,350000,10/1/2014,710f8064a7df8cfd5cda4b94e5edbd04,http://www.armour.io,<12K,,,
Audienced,1/9/2014,,1,2/15/2015,20000,20000,Closed,Seed,20000,2/15/2015,f9e995eee8a3a938788a7483daf82974,http://www.getaudienced.com,<12K,,,
Autopilot,6/1/2012,3/1/2015,2,5/20/2014,10000000,10200000,Closed,Series B,10000000,5/20/2014,6b9d6c7ed07457b8c375aea43a714b3d,http://www.autopilothq.com,581.41K,0:02:25,3.32,61.80%
Aventa Technologies,1/1/2012,,1,9/13/2012,1000000,1000000,Closed,Series A,1000000,9/13/2012,f044533f237a08d873a47c9e3b25f9f5,http://www.aventatech.com,<12K,,,
BTCjam,10/1/2013,5/25/2017,3,10/29/2015,1900000,9200000,Closed,Series A,1900000,10/29/2015,919ed85fc6b14ea8a61c9ec22998a236,http://btcjam.com,94.03K,0:03:21,5.22,33.80%
Beacon,1/1/2014,3/1/2016,2,7/22/2015,7500000,8500000,Closed,Series A,7500000,7/22/2015,1a98da83aa7a99d9747a01bb879a38e2,https://flybeacon.com/,<12K,0:00:47,1.17,82.66%
Beautified,1/1/2013,10/14/2015,1,8/13/2014,1200000,1200000,Closed,Seed,1200000,8/13/2014,b9e402001435317d9d0564e60cd43b8e,http://www.getbeautified.com,<12K,0:06:41,1.97,16.23%
Bee Cave Games,1/1/2012,4/19/2016,5,6/1/2015,5500000,10850000,Closed,Seed,1900000,1/9/2014,ed79c070f3d53503296be8391c9d1a11,http://www.beecavegames.com,<12K,,,
Bitcast,10/1/2012,,1,6/18/2013,20000,20000,Closed,Seed,20000,6/18/2013,cfadc9d59444cc00dbb557fd0b6e3872,http://www.bitcast.io,<12K,0:01:50,1.33,67.22%
Blab,1/1/2015,8/15/2016,1,1/9/2015,5000000,5000000,Closed,Seed,5000000,1/9/2015,46fab25db73c54c3f79be571065ca5d9,http://blab.im,25.80K,0:00:20,1.26,44.10%
Blinpick,1/1/2013,,1,1/1/2013,100000,100000,Closed,Seed,100000,1/1/2013,83ea00268156a0763761f2607efa326b,http://www.blinpick.com,<12K,,,
Boomerang,1/1/2012,,1,7/31/2012,1000000,1000000,Closed,Seed,1000000,7/31/2012,8d86e03778d03ec56955bac58224c80f,http://rang.com,<12K,0:00:01,2.12,29.79%
Buttercoin,1/1/2013,,2,9/18/2013,250000,1250000,Closed,Seed,1000000,8/19/2013,fb3d7636e08058eb3a457e97eed36fb5,http://buttercoin.com,<12K,0:00:08,1.13,89.60%
