UUID,Company,Homepage
3ca068193ca9ce42ce20f0e150d563a0,#waywire,http://www.waywire.com
18e8dd5efe1d5f8ef2edb254171d7f5d,*gram Labs,http://www.gramlabs.ai
cf169e68c903c0898789bdd557d6a4c1,.io,https://onthe.io
165f412c361d7931fd3bcf5e2a1ccef3,/dev/color,http://www.devcolor.org/
e1670a304ff5893d0ae3ceb761e1c251,10 By 10,https://www.10by10.io/
35ca612cf370d2dfe3db63554192f84a,10-4 Systems,https://www.10-4.com/
cf3b00cfffbf0e4f6427a60e5060de39,10X Genomics,http://10xgenomics.com
79fd01f688736282a9ea27622d0bbdcb,10sec,https://10s.ec/
74a66ef358d3adec5740ae7794dd6dbd,12 Labs,http://www.getapplause.com/
8d43a7efac3c3977c8d7b62377f1d97a,121 Mobile,http://my121mobile.com
b87dd21c6fbd9c7d43ee3ce97387825e,128 Technology,https://www.128technology.com/
c852c5d3220d2eb6c78e3c9148430ce4,17hats,https://www.17hats.com
124f67d66ab7c706a057d195462e1f87,18Angles,http://www.18angles.com/
e2eb4ab910be49f5db644973cc8cb1c3,19Labs,http://www.19labs.com/
e794e5f90781eca17e6dc48cdbb89911,1CommMedical,http://1commmedical.com
51e4aae56ad5e054317b7428bffd0870,1Huddle,http://www.1huddle.co
635991c8bbf873f5e5f99e38bb15f97d,1UPd,http://www.get1upd.com
dfc582c6a7ebb0e0a41d62ab94579c73,2020 On-site Optometry,http://www.2020onsite.com
8f609f34526bf914440a129286c65eef,20n,http://20n.com/
12e72873b63e349fe24b21ad5ad87d47,21 Inc,https://21.co
483e69e4de8fb03e1a7b646cd22ab457,23VIVI,http://23vivi.com
40d8d076df13484162029389201bb1fa,27 Perry,http://www.27perry.com
f64ffcc2841edb86586e5be472d4ab8c,2Hat Media,http://linktub.com
06585e6725d08d490d93aa6b0a435f86,2ULaundry,https://www.2ulaundry.com/
75495189f525d47eb02ddb83723208f6,30 Second Showcase,http://www.30secondshowcase.com
7229e2a245595b08ec0c16361b7e80da,37coins,http://www.37coins.com
7b9f9d184cd9f8aeea487c69be0d8254,"3D Operations, Inc.",http://www.3dops.co
f8568bc0ef233c367d2abbf83763aafd,3D-SensIR,http://www.3d-sensir.com/
a254a1efa338f962a4887d8270d205c3,3Derm Systems,http://3derm.com
499ac893025aa72429fe6dcd65cd830f,3Diligent,http://www.3diligent.com
a475e1ef4a5125ce749d09a8bd4b3302,3MayDay Inc.,http://www.3mayday.com
2e4eea40ec8ef51e53f1738ea28afb47,3TEN8,http://www.3ten8.com/
3cd81f93bfedda6704328c67eeb0e52b,3blades,https://www.3blades.io
0fa81e3222ea0995da52f0cffd0f9e65,410 Medical,http://410medical.com/
8309fd71c274096ff5f9618d3d083e0d,44LAB5,http://44lab5.com
35913f7231b2cea5048114477d831818,46 Degrees Technologies,http://www.46degrees.net/
7c5c85fcd5e9c5f447ef6caf3e4e3bfe,4D Healthware,http://4dhealthware.com/
e94407ead3a50f75f3d030ab8a43ac44,4G Clinical,http://4gclinical.com/
33e885108b7b6d08ee2c30ccfce0b465,4ME4WE,http://www.4me4we.com
36c042c2717c6b1ada4f1166e2923ceb,4Soils,http://www.4soils.com
3a176eabafe238edb7b6fbb64bf80dc6,4theTable,http://www.4thetable.com
84420e6294f4ea624ed9711a96f467c9,4wrdtech,https://4wrdtech.com
e22678f2667c2a6322a74b64f9e65df3,5 Million Shoppers,http://5mshoppers.com/
15dff9266ec238a12ee4dcd01a69c39c,5miles,http://www.5milesapp.com
ecceafdd2bbe78a9b6f6dc2ae71ef318,5th Avenue Media,http://5thavemedia.com
12dc5b6304bf23c61d54cf0d9e38817e,6 River Systems,http://www.6river.com/
0977a18bf3b56e9f751ddba7e83fb427,70 Million Jobs,https://www.70millionjobs.com/
ff6ad078b387ec460b79422d160fa012,75F,http://75f.io
9019e4374d09adf10e60a15e136521ab,7Park Data,http://7parkdata.com
66123815417876c0e5b066c3f2c86660,7pm anywhere,http://7pmanywhere.com
26690ae2759092a908e9b2da6b2e6800,8 Inc.,https://the8app.com
619a9863be7222834dcaf692be44ce14,800 Digital Agency,https://800.digital/
780b9eb9cba97e56b53ffc7d202e38eb,800razors,http://www.800razors.com
4b8f4fbcd911148526a59ad75d12dcea,818 Sports & Entertainment,http://www.818se.com/
a9ad84af157cdd73f22a8c733e778726,8Stem,http://www.8stem.com/
9c3b4ae472afb6d63f029c811f56fb40,908 Devices,http://908devices.com
2fcd2e1d549c533bb95b9a3f02b110c4,99Gamers,http://www.99gamers.com
cf53f0399797071d71bb20ee9e2a38a9,A Curated World,http://kaymcgowan.com
917ff7bb1624da1538a581228945a395,A ONE C LifeBox,http://www.aoneclifebox.com
ca89713a2ba17e7cdc40498a3d888cc4,A-Net,http://a-net.mobi
4d2c12d794f2cc24d33320d4f31d1ce4,A4C,http://www.a4c.com
08a9859d775499f81c3a7af0643508a2,A4C,http://www.a4c.us
a8626ba29158fdbc73871e0c075110a7,"ACAExpress.com, Inc.",http://www.acaexpress.com
46367d480f315fc41d8edc92eda6c09b,ACME Advanced Materials,http://www.a2-m.com/
76ceb6323f2762919b18b7ea9764156a,ACT.md,http://act.md
e42b6da9bb6e178a34d27783bfd5c5f9,ACTON,http://www.actonglobal.com
2de581747aa2dcf34af389f9d0f8eec6,ACV Auctions,https://www.acvauctions.com/
9d6e7fe4eca5e9d354690e9b9c13f587,ADEXT,https://adext.com/en
360b3ff456ea726878f6c01978e94f60,ADSHIFT,https://adshift.com/
054fb026c081c70b8e56a111a5ce7a33,ADVANO,http://advanotech.com
659373c28d7384a70d6c0a06e09181b2,AET Hosting Solutions,http://www.aethosting.com
45ea769b96ac225a623c4ce674f7a589,"AEye, Inc.",http://www.aeye.ai
9d34ec20d1af16baa3eb1aaf95fc856c,AFINITY,http://afty.co
6ba01ff62f4e9a1dcb21a3a79b6335b9,AGI Innovations Inc.,http://www.agi-3.com
4e8c5bfb35a8e0b3fb2b0b25384af062,AI Patents,http://www.aipatents.com
50ffc7262e1cb97e1d256d5416fcee51,AIIeyWatch,http://www.alleywatch.com
c4250a368f71c9649279e3d25d857f5f,AIQUEOUS,http://www.aiqueous.com/
13be57c210f0fd39d06c6d261fe8d0b9,"AIR.TV (Air Media, Inc.)",http://www.air.tv
fb860b2492c2ad7556ad884b3ad4c181,AIRVEND,http://www.air-vend.com
6bc21b9cb705a761915508c83ffba9a8,AISense Inc.,http://www.aisense.com
96a89e195286fd4b6e6cbc4363f94970,AKUA,http://akua-llc.com/
48259b862420a8b1984c51d21fd128e5,ALICE,http://info.aliceapp.com/
461a65dcc6b64b97c9242590555bdc8d,ALICE,http://aliceinc.com
aa1c3ab1318cfa94591a2ac8bf4e9d06,ALL DAY MEDIA,http://allday.com/
258ced847c9e3fba8bfebd406c026c88,AMP Robotics,http://amprobotics.com
6896143a0c72343c7b05870277c665bd,AMPY,http://www.getampy.com
ad7844063d84a99b8b400b659a630903,AMS-Qi,http://www.ams-qi.com
f44d74843abffa296c073b1763826fdb,AND CO,http://www.and.co
d76f491adcb7fb43f0c1aa3300e7a967,AOBiome,https://www.aobiome.com/
72f76cf45eb98c969ef0ab7fefa75dc4,APANA,http://www.apana.com
62d6ff9f40ce918b5de195d7f0528ee2,APE Systems,http://ape-system.com
7d394385c32331849b96af3d7b35e338,APImetrics,http://apimetrics.io
deb44f285a8b975e139565b47644163e,APPrise Mobile,http://apprise-mobile.com/
cf5f2a632648f1b18c65a2c39c6510e9,APROOFED,http://www.aproofed.com
2e777195c768873ac07246de15e749e1,APerfectShirt.com,http://www.aperfectshirt.com
ca4d5840e90c61d96e71ce8ea3e9a0cb,APiO,http://www.apio.tech/
cd13651565cc49c4bd161f3096e57e94,ARAZOO,https://www.arazoo.com/
723f4a4b67fd7cbc3756eddc1dd53f69,ARCH Platform Technologies,http://archplatformtechnologies.com/
f9255196349d75b79562e35471f19ae0,AREVS,https://arevs.us/
4dcdbcce73e662d1f637fd0f46de5d03,ARMO BioSciences,http://armobio.com
612141e20a64079d28d223c5e888d7de,ARTDEX,http://www.artdex.com
b217d73b6bb3be666d1c6cb2bf8e3470,ARTSEE,http://www.artseeapp.com
