Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date
.io,https://www.crunchbase.com/organization/io-real-time-analytics,Seed,"$1,500,000 ",10/1/15
*gram Labs,https://www.crunchbase.com/organization/gram-labs,Seed,"$1,000,000 ",7/27/16
/dev/color,https://www.crunchbase.com/organization/dev-color,Seed,"$120,000 ",8/23/16
#waywire,https://www.crunchbase.com/organization/waywire,Seed,"$1,750,000 ",6/30/12
10 By 10,https://www.crunchbase.com/organization/10-by-10,Seed,"$120,000 ",7/1/17
10-4 Systems,https://www.crunchbase.com/organization/10-4-systems,Series A,"$13,900,000 ",6/27/16
10sec,https://www.crunchbase.com/organization/10sec,Seed,"$1,600,000 ",5/8/14
10X Genomics,https://www.crunchbase.com/organization/10x-genomics,Series A,"$3,000,000 ",10/8/12
10X Genomics,https://www.crunchbase.com/organization/10x-genomics,Series B,"$55,000,000 ",1/12/15
10X Genomics,https://www.crunchbase.com/organization/10x-genomics,Series C,"$55,000,000 ",3/17/16
12 Labs,https://www.crunchbase.com/organization/12-labs,Seed,"$935,000 ",11/26/14
121 Mobile,https://www.crunchbase.com/organization/121-mobile,Seed,"$2,200,000 ",12/18/15
128 Technology,https://www.crunchbase.com/organization/128-technology,Seed,"$4,000,000 ",7/7/14
128 Technology,https://www.crunchbase.com/organization/128-technology,Series A,"$11,999,347 ",12/4/14
128 Technology,https://www.crunchbase.com/organization/128-technology,Series B,"$20,000,000 ",12/8/15
128 Technology,https://www.crunchbase.com/organization/128-technology,Series C,"$21,500,000 ",5/31/17
17hats,https://www.crunchbase.com/organization/17hats,Seed,"$1,250,000 ",2/18/15
17hats,https://www.crunchbase.com/organization/17hats,Series A,"$4,000,000 ",10/15/15
18Angles,https://www.crunchbase.com/organization/18angles,Seed,"$500,000 ",2/1/16
19Labs,https://www.crunchbase.com/organization/19labs,Seed,"$680,000 ",9/1/16
1CommMedical,https://www.crunchbase.com/organization/1commmedical,Series A,"$2,500,000 ",4/27/15
1Huddle,https://www.crunchbase.com/organization/sales-huddle-group,Seed,"$500,000 ",3/15/17
1Huddle,https://www.crunchbase.com/organization/sales-huddle-group,Seed,"$125,000 ",10/20/15
1UPd,https://www.crunchbase.com/organization/1upd,Seed,"$30,000 ",9/9/15
2020 On-site Optometry,https://www.crunchbase.com/organization/project-2020,Series A,"$3,499,965 ",6/1/15
2020 On-site Optometry,https://www.crunchbase.com/organization/project-2020,Series A,"$3,000,000 ",7/11/16
20n,https://www.crunchbase.com/organization/20n,Seed,"$2,100,000 ",5/1/15
20n,https://www.crunchbase.com/organization/20n,Seed,"$120,000 ",12/1/14
21 Inc,https://www.crunchbase.com/organization/21e6,Series A,"$5,050,000 ",11/17/13
21 Inc,https://www.crunchbase.com/organization/21e6,Series B,"$116,000,000 ",3/10/15
23VIVI,https://www.crunchbase.com/organization/23vivi,Seed,"$20,000 ",2/12/16
27 Perry,https://www.crunchbase.com/organization/27-perry,Seed,"$118,000 ",5/17/12
2Hat Media,https://www.crunchbase.com/organization/2hat-media,Seed,"$150,000 ",1/1/13
2ULaundry,https://www.crunchbase.com/organization/2u-laundry,Seed,"$400,000 ",11/14/16
30 Second Showcase,https://www.crunchbase.com/organization/30-second-showcase,Seed,"$25,000 ",5/20/13
