Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage
#waywire,2012-06-01,,1,2012-06-30,1750000,1750000,Was Acquired,Seed,1750000,2012-06-30,3ca06819-3ca9-ce42-ce20-f0e150d563a0,http://www.waywire.com
*gram Labs,2015-08-01,,1,2016-07-27,1000000,1000000,Operating,Seed,1000000,2016-07-27,18e8dd5e-fe1d-5f8e-f2ed-b254171d7f5d,http://www.gramlabs.ai
.io,2015-03-01,,1,2015-10-01,1500000,1500000,Operating,Seed,1500000,2015-10-01,cf169e68-c903-c089-8789-bdd557d6a4c1,https://onthe.io
/dev/color,2015-05-01,,1,2016-08-23,120000,120000,Operating,Seed,120000,2016-08-23,165f412c-361d-7931-fd3b-cf5e2a1ccef3,http://www.devcolor.org/
10 By 10,2015-01-01,,1,2017-07-01,120000,120000,Operating,Seed,120000,2017-07-01,e1670a30-4ff5-893d-0ae3-ceb761e1c251,https://www.10by10.io/
10-4 Systems,2012-01-01,,1,2016-06-27,13900000,13900000,Operating,Series A,13900000,2016-06-27,35ca612c-f370-d2df-e3db-63554192f84a,https://www.10-4.com/
10X Genomics,2012-01-01,,3,2016-03-17,55000000,113000000,Operating,Series A,3000000,2012-10-08,cf3b00cf-ffbf-0e4f-6427-a60e5060de39,http://10xgenomics.com
10X Genomics,2012-01-01,,3,2016-03-17,55000000,113000000,Operating,Series B,55000000,2015-01-12,cf3b00cf-ffbf-0e4f-6427-a60e5060de39,http://10xgenomics.com
10X Genomics,2012-01-01,,3,2016-03-17,55000000,113000000,Operating,Series C,55000000,2016-03-17,cf3b00cf-ffbf-0e4f-6427-a60e5060de39,http://10xgenomics.com
10sec,2013-07-08,,2,2014-05-08,1600000,1600000,Operating,Seed,1600000,2014-05-08,79fd01f6-8873-6282-a9ea-27622d0bbdcb,https://10s.ec/
12 Labs,2014-08-01,,1,2014-11-26,935000,935000,Operating,Seed,935000,2014-11-26,74a66ef3-58d3-adec-5740-ae7794dd6dbd,http://www.getapplause.com/
121 Mobile,2012-02-17,,4,2015-12-18,2200000,4000000,Operating,Seed,2200000,2015-12-18,8d43a7ef-ac3c-3977-c8d7-b62377f1d97a,http://my121mobile.com
128 Technology,2014-07-07,,4,2017-05-31,21500000,57499347,Operating,Seed,4000000,2014-07-07,b87dd21c-6fbd-9c7d-43ee-3ce97387825e,https://www.128technology.com/
128 Technology,2014-07-07,,4,2017-05-31,21500000,57499347,Operating,Series A,11999347,2014-12-04,b87dd21c-6fbd-9c7d-43ee-3ce97387825e,https://www.128technology.com/
128 Technology,2014-07-07,,4,2017-05-31,21500000,57499347,Operating,Series B,20000000,2015-12-08,b87dd21c-6fbd-9c7d-43ee-3ce97387825e,https://www.128technology.com/
128 Technology,2014-07-07,,4,2017-05-31,21500000,57499347,Operating,Series C,21500000,2017-05-31,b87dd21c-6fbd-9c7d-43ee-3ce97387825e,https://www.128technology.com/
17hats,2014-01-01,,2,2015-10-15,4000000,5250000,Operating,Seed,1250000,2015-02-18,c852c5d3-220d-2eb6-c78e-3c9148430ce4,https://www.17hats.com
17hats,2014-01-01,,2,2015-10-15,4000000,5250000,Operating,Series A,4000000,2015-10-15,c852c5d3-220d-2eb6-c78e-3c9148430ce4,https://www.17hats.com
18Angles,2015-01-01,,1,2016-02-01,500000,500000,Operating,Seed,500000,2016-02-01,124f67d6-6ab7-c706-a057-d195462e1f87,http://www.18angles.com/
19Labs,2015-01-01,,1,2016-09-01,680000,680000,Operating,Seed,680000,2016-09-01,e2eb4ab9-10be-49f5-db64-4973cc8cb1c3,http://www.19labs.com/
1CommMedical,2013-01-01,,1,2015-04-27,2500000,2500000,Operating,Series A,2500000,2015-04-27,e794e5f9-0781-eca1-7e6d-c48cdbb89911,http://1commmedical.com
1Huddle,2015-01-01,,2,2017-03-15,500000,625000,Operating,Seed,500000,2017-03-15,51e4aae5-6ad5-e054-317b-7428bffd0870,http://www.1huddle.co
1Huddle,2015-01-01,,2,2017-03-15,500000,625000,Operating,Seed,125000,2015-10-20,51e4aae5-6ad5-e054-317b-7428bffd0870,http://www.1huddle.co
1UPd,2015-08-12,,1,2015-09-09,30000,30000,Operating,Seed,30000,2015-09-09,635991c8-bbf8-73f5-e5f9-9e38bb15f97d,http://www.get1upd.com
2020 On-site Optometry,2013-11-01,,3,2016-07-11,3000000,7714965,Operating,Series A,3499965,2015-06-01,dfc582c6-a7eb-b0e0-a41d-62ab94579c73,http://www.2020onsite.com
2020 On-site Optometry,2013-11-01,,3,2016-07-11,3000000,7714965,Operating,Series A,3000000,2016-07-11,dfc582c6-a7eb-b0e0-a41d-62ab94579c73,http://www.2020onsite.com
20n,2013-01-01,,2,2015-05-01,2100000,2220000,Operating,Seed,2100000,2015-05-01,8f609f34-526b-f914-440a-129286c65eef,http://20n.com/
20n,2013-01-01,,2,2015-05-01,2100000,2220000,Operating,Seed,120000,2014-12-01,8f609f34-526b-f914-440a-129286c65eef,http://20n.com/
21 Inc,2013-05-01,,2,2015-03-10,116000000,121050000,Operating,Series A,5050000,2013-11-17,12e72873-b63e-349f-e24b-21ad5ad87d47,https://21.co
21 Inc,2013-05-01,,2,2015-03-10,116000000,121050000,Operating,Series B,116000000,2015-03-10,12e72873-b63e-349f-e24b-21ad5ad87d47,https://21.co
23VIVI,2015-12-22,,1,2016-02-12,20000,20000,Operating,Seed,20000,2016-02-12,483e69e4-de8f-b03e-1a7b-646cd22ab457,http://23vivi.com
27 Perry,2012-01-01,2013-01-01,1,2012-05-17,118000,118000,Closed,Seed,118000,2012-05-17,40d8d076-df13-4841-6202-9389201bb1fa,http://www.27perry.com
2Hat Media,2012-01-01,,1,2013-01-01,150000,150000,Operating,Seed,150000,2013-01-01,f64ffcc2-841e-db86-586e-5be472d4ab8c,http://linktub.com
2ULaundry,2015-12-01,,1,2016-11-14,400000,400000,Operating,Seed,400000,2016-11-14,06585e67-25d0-8d49-0d93-aa6b0a435f86,https://www.2ulaundry.com/
