Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date
#waywire,2012-06-01,,1,2012-06-30,"$1,750,000 ","$1,750,000 ",Was Acquired,Seed,"$1,750,000 ",2012-06-30
*gram Labs,2015-08-01,,1,2016-07-27,"$1,000,000 ","$1,000,000 ",Operating,Seed,"$1,000,000 ",2016-07-27
.io,2015-03-01,,1,2015-10-01,"$1,500,000 ","$1,500,000 ",Operating,Seed,"$1,500,000 ",2015-10-01
/dev/color,2015-05-01,,1,2016-08-23,"$120,000 ","$120,000 ",Operating,Seed,"$120,000 ",2016-08-23
10 By 10,2015-01-01,,1,2017-07-01,"$120,000 ","$120,000 ",Operating,Seed,"$120,000 ",2017-07-01
10-4 Systems,2012-01-01,,1,2016-06-27,"$13,900,000 ","$13,900,000 ",Operating,Series A,"$13,900,000 ",2016-06-27
10X Genomics,2012-01-01,,3,2016-03-17,"$55,000,000 ","$113,000,000 ",Operating,Series A,"$3,000,000 ",2012-10-08
10X Genomics,2012-01-01,,3,2016-03-17,"$55,000,000 ","$113,000,000 ",Operating,Series B,"$55,000,000 ",2015-01-12
10X Genomics,2012-01-01,,3,2016-03-17,"$55,000,000 ","$113,000,000 ",Operating,Series C,"$55,000,000 ",2016-03-17
10sec,2013-07-08,,2,2014-05-08,"$1,600,000 ","$1,600,000 ",Operating,Seed,"$1,600,000 ",2014-05-08
12 Labs,2014-08-01,,1,2014-11-26,"$935,000 ","$935,000 ",Operating,Seed,"$935,000 ",2014-11-26
121 Mobile,2012-02-17,,4,2015-12-18,"$2,200,000 ","$4,000,000 ",Operating,Seed,"$2,200,000 ",2015-12-18
128 Technology,2014-07-07,,4,2017-05-31,"$21,500,000 ","$57,499,347 ",Operating,Seed,"$4,000,000 ",2014-07-07
128 Technology,2014-07-07,,4,2017-05-31,"$21,500,000 ","$57,499,347 ",Operating,Series A,"$11,999,347 ",2014-12-04
128 Technology,2014-07-07,,4,2017-05-31,"$21,500,000 ","$57,499,347 ",Operating,Series B,"$20,000,000 ",2015-12-08
128 Technology,2014-07-07,,4,2017-05-31,"$21,500,000 ","$57,499,347 ",Operating,Series C,"$21,500,000 ",2017-05-31
17hats,2014-01-01,,2,2015-10-15,"$4,000,000 ","$5,250,000 ",Operating,Seed,"$1,250,000 ",2015-02-18
17hats,2014-01-01,,2,2015-10-15,"$4,000,000 ","$5,250,000 ",Operating,Series A,"$4,000,000 ",2015-10-15
18Angles,2015-01-01,,1,2016-02-01,"$500,000 ","$500,000 ",Operating,Seed,"$500,000 ",2016-02-01
19Labs,2015-01-01,,1,2016-09-01,"$680,000 ","$680,000 ",Operating,Seed,"$680,000 ",2016-09-01
1CommMedical,2013-01-01,,1,2015-04-27,"$2,500,000 ","$2,500,000 ",Operating,Series A,"$2,500,000 ",2015-04-27
1Huddle,2015-01-01,,2,2017-03-15,"$500,000 ","$625,000 ",Operating,Seed,"$500,000 ",2017-03-15
1Huddle,2015-01-01,,2,2017-03-15,"$500,000 ","$625,000 ",Operating,Seed,"$125,000 ",2015-10-20
1UPd,2015-08-12,,1,2015-09-09,"$30,000 ","$30,000 ",Operating,Seed,"$30,000 ",2015-09-09
2020 On-site Optometry,2013-11-01,,3,2016-07-11,"$3,000,000 ","$7,714,965 ",Operating,Series A,"$3,499,965 ",2015-06-01
2020 On-site Optometry,2013-11-01,,3,2016-07-11,"$3,000,000 ","$7,714,965 ",Operating,Series A,"$3,000,000 ",2016-07-11
20n,2013-01-01,,2,2015-05-01,"$2,100,000 ","$2,220,000 ",Operating,Seed,"$2,100,000 ",2015-05-01
20n,2013-01-01,,2,2015-05-01,"$2,100,000 ","$2,220,000 ",Operating,Seed,"$120,000 ",2014-12-01
21 Inc,2013-05-01,,2,2015-03-10,"$116,000,000 ","$121,050,000 ",Operating,Series A,"$5,050,000 ",2013-11-17
21 Inc,2013-05-01,,2,2015-03-10,"$116,000,000 ","$121,050,000 ",Operating,Series B,"$116,000,000 ",2015-03-10
23VIVI,2015-12-22,,1,2016-02-12,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2016-02-12
27 Perry,2012-01-01,2013-01-01,1,2012-05-17,"$118,000 ","$118,000 ",Closed,Seed,"$118,000 ",2012-05-17
2Hat Media,2012-01-01,,1,2013-01-01,"$150,000 ","$150,000 ",Operating,Seed,"$150,000 ",2013-01-01
2ULaundry,2015-12-01,,1,2016-11-14,"$400,000 ","$400,000 ",Operating,Seed,"$400,000 ",2016-11-14
30 Second Showcase,2013-04-01,,1,2013-05-20,"$25,000 ","$25,000 ",Operating,Seed,"$25,000 ",2013-05-20
37coins,2014-01-01,,2,2014-06-01,"$500,000 ","$525,000 ",Operating,Seed,"$500,000 ",2014-06-01
37coins,2014-01-01,,2,2014-06-01,"$500,000 ","$525,000 ",Operating,Seed,"$25,000 ",2014-03-15
"3D Operations, Inc.",2014-01-01,,1,2014-05-15,"$7,500 ","$7,500 ",Operating,Seed,"$7,500 ",2014-05-15
3D-SensIR,2016-01-01,,1,2016-09-26,"$75,000 ","$75,000 ",Operating,Seed,"$75,000 ",2016-09-26
3Derm Systems,2012-01-01,,5,2016-07-27,"$1,655,709 ","$3,535,709 ",Operating,Series A,"$1,655,709 ",2016-07-27
3Diligent,2014-07-23,,2,2015-03-15,"$900,000 ","$1,150,000 ",Operating,Seed,"$900,000 ",2015-03-15
3MayDay Inc.,2013-02-08,,2,2017-03-21,"$80,000 ","$230,000 ",Operating,Seed,"$150,000 ",2013-11-16
3MayDay Inc.,2013-02-08,,2,2017-03-21,"$80,000 ","$230,000 ",Operating,Seed,"$80,000 ",2017-03-21
3TEN8,2013-08-15,,1,2015-04-15,"$1,670,000 ","$1,670,000 ",Operating,Seed,"$1,670,000 ",2015-04-15
3blades,2015-09-01,,1,2015-05-10,"$100,000 ","$100,000 ",Operating,Seed,"$100,000 ",2015-05-10
410 Medical,2013-01-01,,3,2017-06-21,"$2,100,000 ","$7,574,993 ",Operating,Series A,"$3,274,993 ",2017-03-23
410 Medical,2013-01-01,,3,2017-06-21,"$2,100,000 ","$7,574,993 ",Operating,Series A,"$2,100,000 ",2017-06-21
44LAB5,2015-01-05,,1,2015-05-31,"$450,000 ","$450,000 ",Operating,Seed,"$450,000 ",2015-05-31
46 Degrees Technologies,2015-09-30,,1,2016-04-20,"$2,000,000 ","$2,000,000 ",Operating,Seed,"$2,000,000 ",2016-04-20
4D Healthware,2012-01-01,,2,2017-02-27,"$800,000 ","$1,500,000 ",Operating,Seed,"$800,000 ",2017-02-27
4D Healthware,2012-01-01,,2,2017-02-27,"$800,000 ","$1,500,000 ",Operating,Seed,"$700,000 ",2015-06-02
4G Clinical,2015-01-01,,2,2016-10-19,"$5,000,000 ","$7,500,000 ",Operating,Series A,"$5,000,000 ",2016-10-19
4G Clinical,2015-01-01,,2,2016-10-19,"$5,000,000 ","$7,500,000 ",Operating,Series A,"$2,500,000 ",2016-01-29
4ME4WE,2012-03-01,,3,2016-03-01,"$700,000 ","$1,400,000 ",Operating,Seed,"$450,000 ",2014-07-15
